sample_id,region,modality,main_class,object_f1,mean_object_iou,weighted_contribution,raw_object_f1,raw_weighted_contribution,delta_weighted_contribution,gt_objects,pred_objects
000003,005_ЛУБНО,Li,gorodishcha,0.0,0.0,0.0,0.0,0.0,0.0,4,3
000011,005_ЛУБНО,Li,fortifikatsii,0.0,0.0,0.0,0.0,0.0,0.0,4,10
000012,005_ЛУБНО,Li,fortifikatsii,0.0,0.0,0.0,0.0,0.0,0.0,2,2
000016,006_МОСКОВИТЫ,Li,fortifikatsii,0.0,0.0,0.0,0.0,0.0,0.0,1,7
000017,006_МОСКОВИТЫ,Li,fortifikatsii,0.0,0.0,0.0,0.0,0.0,0.0,1,5
000018,006_МОСКОВИТЫ,Li,fortifikatsii,0.0,0.0,0.0,0.0,0.0,0.0,1,2
000019,006_МОСКОВИТЫ,Li,fortifikatsii,0.0,0.0,0.0,0.0,0.0,0.0,1,2
000020,006_МОСКОВИТЫ,Li,fortifikatsii,0.0,0.0,0.0,0.0,0.0,0.0,1,9
000021,006_МОСКОВИТЫ,Ae,fortifikatsii,0.0,0.0,0.0,0.0,0.0,0.0,2,0
000026,006_МОСКОВИТЫ,Ae,fortifikatsii,0.0,0.0,0.0,0.0,0.0,0.0,2,3
000027,006_МОСКОВИТЫ,Ae,fortifikatsii,0.0,0.0,0.0,0.0,0.0,0.0,4,6
000028,006_МОСКОВИТЫ,Ae,fortifikatsii,0.0,0.0,0.0,0.0,0.0,0.0,1,8
000029,006_МОСКОВИТЫ,Ae,fortifikatsii,0.0,0.0,0.0,0.0,0.0,0.0,3,5
000030,006_МОСКОВИТЫ,Ae,fortifikatsii,0.0,0.0,0.0,0.0,0.0,0.0,1,4
000031,006_МОСКОВИТЫ,Ae,fortifikatsii,0.0,0.0,0.0,0.0,0.0,0.0,1,6
000032,006_МОСКОВИТЫ,Ae,fortifikatsii,0.0,0.0,0.0,0.0,0.0,0.0,2,3
000036,006_МОСКОВИТЫ,Ae,fortifikatsii,0.0,0.0,0.0,0.0,0.0,0.0,1,6
000041,006_МОСКОВИТЫ,Ae,fortifikatsii,0.0,0.0,0.0,0.0,0.0,0.0,1,4
000042,006_МОСКОВИТЫ,Ae,fortifikatsii,0.0,0.0,0.0,0.0,0.0,0.0,2,3
000052,006_МОСКОВИТЫ,Ae,fortifikatsii,0.0,0.0,0.0,0.0,0.0,0.0,3,6
