sample_id,region,modality,raster_file,source_file,class_name,class_id,class_label_ru,n_objects_in_patch,classes_in_patch,height,width,crop_size,obj_w_px,obj_h_px,target_fits_inside,touches_border,used_crs_fallback,mask_bg_pixels,mask_kurgany_tselye_pixels,has_kurgany_tselye,mask_kurgany_povrezhdennye_pixels,has_kurgany_povrezhdennye,mask_gorodishcha_pixels,has_gorodishcha,mask_fortifikatsii_pixels,has_fortifikatsii,mask_arkhitektury_pixels,has_arkhitektury
000000,004_ДЕМИДОВКА,Li,03_Демидовка_Li_карты_g.tif,Демидовка_Li_городища.geojson,gorodishcha,3,городища,1,gorodishcha,1736,1736,1736,867.4666311359198,597.2648711223155,True,False,False,2633263,0,False,0,False,380433,True,0,False,0,False
000001,004_ДЕМИДОВКА,Li,03_Демидовка_Li_карты_g.tif,Демидовка_Li_городища.geojson,gorodishcha,3,городища,1,gorodishcha,1276,1276,1276,637.2548343334468,512.6709510851651,True,False,False,1418102,0,False,0,False,210074,True,0,False,0,False
000082,007_ЮШКОВО,Li,03_Юшково_Li_карты_g.tif,Юшково_Li_курганы_поврежденные.geojson,kurgany_povrezhdennye,2,курганы_поврежденные,8,kurgany_povrezhdennye;kurgany_tselye,256,256,256,94.03325459692472,119.89784799396908,True,False,False,32868,18957,True,13711,True,0,False,0,False,0,False
000083,007_ЮШКОВО,Li,03_Юшково_Li_карты_g.tif,Юшково_Li_курганы_поврежденные.geojson,kurgany_povrezhdennye,2,курганы_поврежденные,10,kurgany_povrezhdennye;kurgany_tselye,256,256,256,84.57609448270547,101.12555605738532,True,False,False,15779,33714,True,16043,True,0,False,0,False,0,False
000084,007_ЮШКОВО,Li,03_Юшково_Li_карты_g.tif,Юшково_Li_курганы_поврежденные.geojson,kurgany_povrezhdennye,2,курганы_поврежденные,8,kurgany_povrezhdennye;kurgany_tselye,256,256,256,88.032157188011,93.87832328042283,True,False,False,25201,22992,True,17343,True,0,False,0,False,0,False
000085,007_ЮШКОВО,Li,03_Юшково_Li_карты_g.tif,Юшково_Li_курганы_поврежденные.geojson,kurgany_povrezhdennye,2,курганы_поврежденные,5,kurgany_povrezhdennye;kurgany_tselye,256,256,256,103.13349127800022,102.87076621624472,True,False,False,39498,14709,True,11329,True,0,False,0,False,0,False
000086,007_ЮШКОВО,Li,03_Юшково_Li_карты_g.tif,Юшково_Li_курганы_поврежденные.geojson,kurgany_povrezhdennye,2,курганы_поврежденные,7,kurgany_povrezhdennye;kurgany_tselye,274,274,274,136.80863781906228,135.55619140908007,True,False,False,39420,21136,True,14520,True,0,False,0,False,0,False
000087,007_ЮШКОВО,Li,03_Юшково_Li_карты_g.tif,Юшково_Li_курганы_поврежденные.geojson,kurgany_povrezhdennye,2,курганы_поврежденные,3,kurgany_povrezhdennye,256,256,256,115.73964889742768,122.31351701122148,True,False,False,51554,0,False,13982,True,0,False,0,False,0,False
000088,007_ЮШКОВО,Li,03_Юшково_Li_карты_g.tif,Юшково_Li_курганы_поврежденные.geojson,kurgany_povrezhdennye,2,курганы_поврежденные,2,kurgany_povrezhdennye,256,256,256,89.00746982517366,113.35328267491468,True,False,False,53370,0,False,12166,True,0,False,0,False,0,False
000089,007_ЮШКОВО,Li,03_Юшково_Li_карты_g.tif,Юшково_Li_курганы_поврежденные.geojson,kurgany_povrezhdennye,2,курганы_поврежденные,3,kurgany_povrezhdennye;kurgany_tselye,256,256,256,102.7649423627326,115.19668364073728,True,False,False,49945,6099,True,9492,True,0,False,0,False,0,False
000090,007_ЮШКОВО,Li,03_Юшково_Li_карты_g.tif,Юшково_Li_курганы_поврежденные.geojson,kurgany_povrezhdennye,2,курганы_поврежденные,5,kurgany_povrezhdennye;kurgany_tselye,324,324,324,161.70355281062945,160.98872840624742,True,False,False,56826,22121,True,26029,True,0,False,0,False,0,False
000091,007_ЮШКОВО,Li,03_Юшково_Li_карты_g.tif,Юшково_Li_курганы_поврежденные.geojson,kurgany_povrezhdennye,2,курганы_поврежденные,6,kurgany_povrezhdennye;kurgany_tselye,298,298,298,119.31843201507422,148.7687978941198,True,False,False,33811,35463,True,19530,True,0,False,0,False,0,False
000092,007_ЮШКОВО,Li,03_Юшково_Li_карты_g.tif,Юшково_Li_курганы_поврежденные.geojson,kurgany_povrezhdennye,2,курганы_поврежденные,3,kurgany_povrezhdennye;kurgany_tselye,296,296,296,143.47332808208486,147.75446281008865,True,False,False,48891,22173,True,16552,True,0,False,0,False,0,False
000093,007_ЮШКОВО,Li,03_Юшково_Li_карты_g.tif,Юшково_Li_курганы_поврежденные.geojson,kurgany_povrezhdennye,2,курганы_поврежденные,8,kurgany_povrezhdennye;kurgany_tselye,256,256,256,117.35718737597402,97.90699849535704,True,False,False,30072,18646,True,16818,True,0,False,0,False,0,False
000094,007_ЮШКОВО,Li,03_Юшково_Li_карты_g.tif,Юшково_Li_курганы_поврежденные.geojson,kurgany_povrezhdennye,2,курганы_поврежденные,5,kurgany_povrezhdennye;kurgany_tselye,268,268,268,133.6585916441569,83.00108372343054,True,False,False,51825,6885,True,13114,True,0,False,0,False,0,False
000095,007_ЮШКОВО,Li,03_Юшково_Li_карты_g.tif,Юшково_Li_курганы_поврежденные.geojson,kurgany_povrezhdennye,2,курганы_поврежденные,6,kurgany_povrezhdennye;kurgany_tselye,260,260,260,92.8781324830469,129.5048872831629,True,False,False,40522,13362,True,13716,True,0,False,0,False,0,False
000096,007_ЮШКОВО,Li,03_Юшково_Li_карты_g.tif,Юшково_Li_курганы_целые.geojson,kurgany_tselye,1,курганы_целые,2,kurgany_tselye,292,292,292,137.8466874682706,145.87018762994333,True,False,False,65385,19879,True,0,False,0,False,0,False,0,False
000097,007_ЮШКОВО,Li,03_Юшково_Li_карты_g.tif,Юшково_Li_курганы_целые.geojson,kurgany_tselye,1,курганы_целые,3,kurgany_tselye,256,256,256,67.59041563609654,94.94930691938023,True,False,False,51116,14420,True,0,False,0,False,0,False,0,False
000098,007_ЮШКОВО,Li,03_Юшково_Li_карты_g.tif,Юшково_Li_курганы_целые.geojson,kurgany_tselye,1,курганы_целые,11,kurgany_povrezhdennye;kurgany_tselye,368,368,368,144.2986331862499,183.3565488970516,True,False,False,69648,40977,True,24799,True,0,False,0,False,0,False
000099,007_ЮШКОВО,Li,03_Юшково_Li_карты_g.tif,Юшково_Li_курганы_целые.geojson,kurgany_tselye,1,курганы_целые,2,kurgany_povrezhdennye;kurgany_tselye,256,256,256,89.85249183353979,95.168254723933,True,False,False,52645,6543,True,6348,True,0,False,0,False,0,False
000100,007_ЮШКОВО,Li,03_Юшково_Li_карты_g.tif,Юшково_Li_курганы_целые.geojson,kurgany_tselye,1,курганы_целые,9,kurgany_povrezhdennye;kurgany_tselye,256,256,256,126.7316630716438,98.92319380865638,True,False,False,16451,32423,True,16662,True,0,False,0,False,0,False
000101,007_ЮШКОВО,Li,03_Юшково_Li_карты_g.tif,Юшково_Li_курганы_целые.geojson,kurgany_tselye,1,курганы_целые,5,kurgany_povrezhdennye;kurgany_tselye,256,256,256,86.96497985971065,86.32705053123539,True,False,False,38156,18382,True,8998,True,0,False,0,False,0,False
000102,007_ЮШКОВО,Li,03_Юшково_Li_карты_g.tif,Юшково_Li_курганы_целые.geojson,kurgany_tselye,1,курганы_целые,8,kurgany_povrezhdennye;kurgany_tselye,256,256,256,104.28579345992462,97.28047031753398,True,False,False,27709,30855,True,6972,True,0,False,0,False,0,False
000103,007_ЮШКОВО,Li,03_Юшково_Li_карты_g.tif,Юшково_Li_курганы_целые.geojson,kurgany_tselye,1,курганы_целые,11,kurgany_povrezhdennye;kurgany_tselye,256,256,256,117.6795004352116,114.06360241146176,True,False,False,13173,36519,True,15844,True,0,False,0,False,0,False
000104,007_ЮШКОВО,Li,03_Юшково_Li_карты_g.tif,Юшково_Li_курганы_целые.geojson,kurgany_tselye,1,курганы_целые,10,kurgany_povrezhdennye;kurgany_tselye,258,258,258,128.54677159784154,119.1259736583468,True,False,False,15945,39528,True,11091,True,0,False,0,False,0,False
000105,007_ЮШКОВО,Li,03_Юшково_Li_карты_g.tif,Юшково_Li_курганы_целые.geojson,kurgany_tselye,1,курганы_целые,10,kurgany_povrezhdennye;kurgany_tselye,256,256,256,103.77255578578496,85.8703800754074,True,False,False,16447,36736,True,12353,True,0,False,0,False,0,False
000106,007_ЮШКОВО,Li,03_Юшково_Li_карты_g.tif,Юшково_Li_курганы_целые.geojson,kurgany_tselye,1,курганы_целые,8,kurgany_povrezhdennye;kurgany_tselye,256,256,256,98.69019210809763,118.07512381485024,True,False,False,27944,31770,True,5822,True,0,False,0,False,0,False
000107,007_ЮШКОВО,Li,03_Юшково_Li_карты_g.tif,Юшково_Li_курганы_целые.geojson,kurgany_tselye,1,курганы_целые,5,kurgany_povrezhdennye;kurgany_tselye,256,256,256,90.98750132743936,87.19811920578263,True,False,False,38908,25452,True,1176,True,0,False,0,False,0,False
000108,007_ЮШКОВО,Li,03_Юшково_Li_карты_g.tif,Юшково_Li_курганы_целые.geojson,kurgany_tselye,1,курганы_целые,8,kurgany_povrezhdennye;kurgany_tselye,284,284,284,114.05960793646612,141.92462497053708,True,False,False,31411,39411,True,9834,True,0,False,0,False,0,False
000109,007_ЮШКОВО,Li,03_Юшково_Li_карты_g.tif,Юшково_Li_курганы_целые.geojson,kurgany_tselye,1,курганы_целые,7,kurgany_povrezhdennye;kurgany_tselye,262,262,262,126.06340952452406,130.20893193705643,True,False,False,27150,26800,True,14694,True,0,False,0,False,0,False
000110,007_ЮШКОВО,Li,03_Юшково_Li_карты_g.tif,Юшково_Li_курганы_целые.geojson,kurgany_tselye,1,курганы_целые,5,kurgany_povrezhdennye;kurgany_tselye,402,402,402,178.82433211973816,200.8927971755867,True,False,False,98474,57479,True,5651,True,0,False,0,False,0,False
000111,007_ЮШКОВО,Li,03_Юшково_Li_карты_g.tif,Юшково_Li_курганы_целые.geojson,kurgany_tselye,1,курганы_целые,4,kurgany_povrezhdennye;kurgany_tselye,320,320,320,146.25664013804533,159.4377976394725,True,False,False,62886,26402,True,13112,True,0,False,0,False,0,False
000112,007_ЮШКОВО,Li,03_Юшково_Li_карты_g.tif,Юшково_Li_курганы_целые.geojson,kurgany_tselye,1,курганы_целые,10,kurgany_povrezhdennye;kurgany_tselye,450,450,450,224.73983605499163,165.16428425157784,True,False,False,104373,69635,True,28492,True,0,False,0,False,0,False
000113,007_ЮШКОВО,Li,03_Юшково_Li_карты_g.tif,Юшково_Li_курганы_целые.geojson,kurgany_tselye,1,курганы_целые,3,kurgany_tselye,332,332,332,165.6230389625477,121.07493158874838,True,False,False,79612,30612,True,0,False,0,False,0,False,0,False
000114,007_ЮШКОВО,Li,03_Юшково_Li_карты_g.tif,Юшково_Li_курганы_целые.geojson,kurgany_tselye,1,курганы_целые,4,kurgany_povrezhdennye;kurgany_tselye,356,356,356,177.99501305569916,116.40287676331847,True,False,False,75663,45168,True,5905,True,0,False,0,False,0,False
000115,007_ЮШКОВО,Li,03_Юшково_Li_карты_g.tif,Юшково_Li_курганы_целые.geojson,kurgany_tselye,1,курганы_целые,3,kurgany_povrezhdennye;kurgany_tselye,286,286,286,128.52733895015288,142.19206764710478,True,False,False,45155,26989,True,9652,True,0,False,0,False,0,False
000116,007_ЮШКОВО,Li,03_Юшково_Li_карты_g.tif,Юшково_Li_курганы_целые.geojson,kurgany_tselye,1,курганы_целые,7,kurgany_povrezhdennye;kurgany_tselye,354,354,354,176.80985367168344,147.57807732342522,True,False,False,42568,69733,True,13015,True,0,False,0,False,0,False
000117,007_ЮШКОВО,Li,03_Юшково_Li_карты_g.tif,Юшково_Li_курганы_целые.geojson,kurgany_tselye,1,курганы_целые,4,kurgany_tselye,256,256,256,87.22577192416985,103.87090963469998,True,False,False,43568,21968,True,0,False,0,False,0,False,0,False
000118,007_ЮШКОВО,Li,03_Юшково_Li_карты_g.tif,Юшково_Li_курганы_целые.geojson,kurgany_tselye,1,курганы_целые,3,kurgany_povrezhdennye;kurgany_tselye,256,256,256,111.4060033869402,112.53584733334574,True,False,False,34664,9493,True,21379,True,0,False,0,False,0,False
000119,007_ЮШКОВО,Li,03_Юшково_Li_карты_g.tif,Юшково_Li_курганы_целые.geojson,kurgany_tselye,1,курганы_целые,3,kurgany_tselye,288,288,288,143.52178730844042,141.21983469243403,True,False,False,45351,37593,True,0,False,0,False,0,False,0,False
000120,007_ЮШКОВО,Li,03_Юшково_Li_карты_g.tif,Юшково_Li_курганы_целые.geojson,kurgany_tselye,1,курганы_целые,4,kurgany_tselye,278,278,278,138.15939636097588,128.3625291705788,True,False,False,40001,37283,True,0,False,0,False,0,False,0,False
000121,007_ЮШКОВО,Li,03_Юшково_Li_карты_g.tif,Юшково_Li_курганы_целые.geojson,kurgany_tselye,1,курганы_целые,5,kurgany_povrezhdennye;kurgany_tselye,256,256,256,94.93915650610444,95.75783856573192,True,False,False,50947,14124,True,465,True,0,False,0,False,0,False
000122,007_ЮШКОВО,Li,03_Юшково_Li_карты_g.tif,Юшково_Li_курганы_целые.geojson,kurgany_tselye,1,курганы_целые,9,kurgany_povrezhdennye;kurgany_tselye,552,552,552,275.4332505768892,181.78138948883856,True,False,False,192496,93145,True,19063,True,0,False,0,False,0,False
000123,007_ЮШКОВО,Ae,01_Юшково_Ae_немецкая.tif,Юшково_Ае_курганы_поврежденные.geojson,kurgany_povrezhdennye,2,курганы_поврежденные,6,kurgany_povrezhdennye;kurgany_tselye,256,256,256,38.891278920846126,35.86150123548052,True,False,False,61323,3119,True,1094,True,0,False,0,False,0,False
000124,007_ЮШКОВО,Ae,01_Юшково_Ae_немецкая.tif,Юшково_Ае_курганы_поврежденные.geojson,kurgany_povrezhdennye,2,курганы_поврежденные,5,kurgany_povrezhdennye;kurgany_tselye,256,256,256,36.453333211232255,40.93589556863333,True,False,False,61134,3343,True,1059,True,0,False,0,False,0,False
