image_id,decision,reason,comment,updated_at
train_train_000000,remove_image,,,2026-06-17T20:32:56
train_train_000001,keep,,,2026-06-15T18:48:55
train_train_000002,keep,,,2026-06-15T18:49:04
train_train_000003,keep,,,2026-06-15T18:49:08
train_train_000004,remove_image,edge_artifact,,2026-06-17T20:33:15
train_train_000005,keep,edge_artifact,,2026-06-15T18:49:35
train_train_000006,keep,edge_artifact,,2026-06-15T18:49:39
train_train_000007,keep,edge_artifact,,2026-06-15T18:49:44
train_train_000008,remove_image,object_not_visible,,2026-06-17T20:33:25
train_train_000009,remove_image,object_not_visible,,2026-06-15T18:51:31
train_train_000010,remove_image,object_not_visible,,2026-06-15T18:51:50
train_train_000011,keep,edge_artifact,,2026-06-15T18:52:15
train_train_000012,remove_image,edge_artifact,,2026-06-15T18:52:25
train_train_000013,keep,edge_artifact,,2026-06-15T18:52:35
train_train_000014,keep,object_not_visible,,2026-06-15T18:52:49
train_train_000015,keep,object_not_visible,,2026-06-15T18:52:58
train_train_000027,remove_image,edge_artifact,,2026-06-15T18:54:59
train_train_000028,keep,other,,2026-06-15T18:55:08
train_train_000029,keep,other,,2026-06-15T18:55:12
train_train_000030,keep,other,,2026-06-15T18:55:18
train_train_000031,keep,other,,2026-06-15T18:55:23
train_train_000032,remove_image,edge_artifact,,2026-06-15T18:55:36
train_train_000033,remove_image,edge_artifact,,2026-06-15T18:55:45
train_train_000034,remove_image,edge_artifact,,2026-06-15T18:55:53
train_train_000035,remove_image,edge_artifact,,2026-06-15T18:55:58
train_train_000036,remove_image,edge_artifact,,2026-06-15T18:56:02
train_train_000037,keep,edge_artifact,,2026-06-15T18:56:11
train_train_000038,keep,edge_artifact,,2026-06-15T18:56:17
train_train_000039,keep,edge_artifact,,2026-06-15T18:56:21
train_train_000040,keep,edge_artifact,,2026-06-15T18:56:26
train_train_000041,keep,edge_artifact,,2026-06-15T18:56:32
train_train_000042,keep,edge_artifact,,2026-06-15T18:56:37
train_train_000043,keep,edge_artifact,,2026-06-15T18:56:44
train_train_000044,keep,edge_artifact,,2026-06-15T18:57:05
train_train_000045,keep,edge_artifact,,2026-06-17T20:34:45
train_train_000046,keep,other,,2026-06-15T18:57:32
train_train_000047,keep,other,,2026-06-15T18:57:36
train_train_000048,keep,other,,2026-06-15T18:57:44
train_train_000049,remove_image,edge_artifact,,2026-06-15T18:57:59
train_train_000050,keep,other,,2026-06-15T18:58:11
train_train_000051,keep,other,,2026-06-15T18:58:22
train_train_000052,keep,other,,2026-06-15T18:58:31
train_train_000053,keep,other,,2026-06-15T18:58:39
train_train_000054,keep,other,,2026-06-15T18:58:46
train_train_000055,keep,edge_artifact,,2026-06-15T18:59:08
train_train_000056,remove_image,edge_artifact,,2026-06-15T18:59:17
train_train_000057,keep,other,,2026-06-15T18:59:35
train_train_000058,keep,other,,2026-06-15T18:59:42
train_train_000059,keep,other,,2026-06-15T18:59:52
train_train_000060,keep,other,,2026-06-15T18:59:58
train_train_000061,remove_image,edge_artifact,,2026-06-15T19:00:34
train_train_000062,keep,other,,2026-06-15T19:00:47
train_train_000063,keep,other,,2026-06-15T19:00:52
train_train_000064,keep,other,,2026-06-15T19:01:01
train_train_000065,keep,other,,2026-06-15T19:01:06
train_train_000066,keep,broken_tile,,2026-06-17T20:35:13
train_train_000067,keep,other,,2026-06-15T19:01:34
train_train_000068,keep,other,,2026-06-15T19:01:43
train_train_000069,keep,other,,2026-06-15T19:01:50
train_train_000070,remove_image,edge_artifact,,2026-06-15T19:02:12
train_train_000071,keep,edge_artifact,,2026-06-15T19:02:22
train_train_000072,keep,edge_artifact,,2026-06-15T19:02:31
train_train_000073,remove_image,edge_artifact,,2026-06-15T19:02:38
train_train_000074,remove_image,edge_artifact,,2026-06-15T19:02:42
train_train_000075,remove_image,edge_artifact,,2026-06-15T19:02:47
train_train_000076,remove_image,edge_artifact,,2026-06-15T19:02:53
train_train_000077,keep,edge_artifact,,2026-06-15T19:02:59
train_train_000078,remove_image,edge_artifact,,2026-06-15T19:04:16
train_train_000079,keep,edge_artifact,,2026-06-15T19:04:29
train_train_000080,keep,other,,2026-06-15T19:04:41
train_train_000081,remove_image,edge_artifact,,2026-06-15T19:04:51
train_train_000082,keep,other,,2026-06-15T19:05:05
train_train_000083,keep,other,,2026-06-15T19:05:10
train_train_000084,keep,other,,2026-06-15T19:05:14
train_train_000085,keep,other,,2026-06-15T19:05:20
train_train_000086,keep,other,,2026-06-15T19:05:29
train_train_000087,remove_image,edge_artifact,,2026-06-15T19:05:38
train_train_000088,remove_image,edge_artifact,,2026-06-15T19:06:59
train_train_000089,remove_image,edge_artifact,,2026-06-15T19:07:04
train_train_000090,remove_image,edge_artifact,,2026-06-15T19:13:55
train_train_000091,keep,edge_other,,2026-06-15T19:14:02
train_train_000092,remove_image,edge_artifact,,2026-06-15T19:17:58
train_train_000093,keep,edge_artifact,,2026-06-15T19:18:05
train_train_000094,remove_image,edge_artifact,,2026-06-15T19:18:10
train_train_000095,remove_image,edge_artifact,,2026-06-15T19:18:15
train_train_000096,remove_image,edge_artifact,,2026-06-15T19:18:20
train_train_000097,keep,edge_artifact,,2026-06-15T19:18:25
train_train_000098,keep,edge_artifact,,2026-06-15T19:18:31
train_train_000099,keep,edge_artifact,,2026-06-15T19:18:37
train_train_000100,keep,edge_artifact,,2026-06-15T19:18:44
train_train_000101,keep,edge_artifact,,2026-06-15T23:37:39
train_train_000102,keep,edge_artifact,,2026-06-15T23:37:45
train_train_000103,keep,object_not_visible,,2026-06-15T23:38:09
train_train_000104,keep,object_not_visible,,2026-06-15T23:38:20
train_train_000105,remove_image,object_not_visible,,2026-06-15T23:38:41
train_train_000106,keep,other,,2026-06-15T23:39:02
train_train_000107,keep,other,,2026-06-15T23:39:08
train_train_000108,keep,other,,2026-06-17T20:36:40
train_train_000109,keep,other,,2026-06-15T23:39:34
train_train_000110,remove_image,other,,2026-06-15T23:39:42
train_train_000111,remove_image,other,,2026-06-15T23:39:50
train_train_000112,remove_image,other,,2026-06-15T23:39:57
train_train_000113,keep,other,,2026-06-15T23:40:12
train_train_000114,keep,other,,2026-06-15T23:40:19
train_train_000115,remove_image,other,,2026-06-15T23:40:29
train_train_000116,remove_image,other,,2026-06-15T23:40:37
train_train_000117,keep,other,,2026-06-15T23:40:44
train_train_000118,keep,other,,2026-06-15T23:40:50
train_train_000119,remove_image,other,,2026-06-15T23:40:56
train_train_000120,keep,other,,2026-06-15T23:41:04
train_train_000121,keep,other,,2026-06-15T23:41:10
