feature,group,n,median,p25,p75,p10,p90
yolo_conf,TP@0.3,80,0.15688125044107434,0.08271440304815762,0.3483907356858253,0.06378525421023368,0.6408418595790875
yolo_conf,FP@0.3,149,0.0805140137672424,0.0632056593894958,0.1190135478973388,0.05504608973860738,0.16959048807620997
bbox_area,TP@0.3,80,20435.890310357332,5107.989140286652,57173.831028579036,3888.0446334415087,128009.65686060254
bbox_area,FP@0.3,149,38784.40016459674,14177.461265042426,143143.60964808776,6131.326971371654,250755.11755174492
bbox_area_norm,TP@0.3,80,0.019489183721883137,0.004871358051573422,0.05452521422250656,0.0037079283079543197,0.12207952199993376
bbox_area_norm,FP@0.3,149,0.03698768631419824,0.013520680680315424,0.1365123840790632,0.005847289058086065,0.2391387153165292
bbox_w,TP@0.3,80,156.27667236328125,71.35702705383301,274.4578857421875,62.971826171875,399.4740707397463
bbox_w,FP@0.3,149,213.94903564453125,129.14175415039062,436.8140563964844,83.49762330055238,599.7755676269531
bbox_h,TP@0.3,80,133.51269531250003,71.1641845703125,220.66624832153326,62.28727340698242,356.0366378784181
bbox_h,FP@0.3,149,183.982421875,99.6536865234375,355.0723266601562,74.05652685165406,509.39726562500033
aspect_ratio,TP@0.3,80,1.1880169117351147,1.091475920549506,1.3992975537516217,1.0284661490475235,1.9087713973088316
aspect_ratio,FP@0.3,149,1.2665027297675042,1.1579167137253017,1.814315858093735,1.0543979774408099,2.505878029286036
pad_area_norm,TP@0.3,80,0.04130299518506188,0.0106141326767184,0.111522395969578,0.00834283869289722,0.25006346347553127
pad_area_norm,FP@0.3,149,0.07140132379416271,0.02615380900976705,0.24984082128644833,0.012251394211304455,0.41432183528373634
valid_fraction,TP@0.3,80,0.9835824966430664,0.8144993782043457,0.9998762607574464,0.732816219329834,0.9999818801879884
valid_fraction,FP@0.3,149,0.9998798370361328,0.9552559852600098,0.9999635219573976,0.856236457824707,0.9999902725219726
tile_std,TP@0.3,80,20.63725471496582,16.93973422050476,25.28293800354004,14.823860836029052,27.722278594970714
tile_std,FP@0.3,149,20.910070419311523,17.799978256225586,28.73457908630371,14.932592391967772,32.313270568847656
tile_p98_minus_p2,TP@0.3,80,105.0,75.75,122.0,68.3,132.0
tile_p98_minus_p2,FP@0.3,149,97.0,81.0,131.0,69.0,151.0
n_objects,TP@0.3,80,4.0,2.0,6.0,1.0,7.0
n_objects,FP@0.3,149,1.0,0.0,2.0,0.0,6.0
max_iou_with_gt,TP@0.3,80,0.5981067347354487,0.4833384805514216,0.7579719673538379,0.3854794662372507,0.7963004809867447
max_iou_with_gt,FP@0.3,149,0.0,0.0,0.076562524704873,0.0,0.1996173434080118
