proposals,fp03,fp_per_image,covered_gt_iou03,coverage_iou03,lost_covered,fp_removed,proposal_removed,rule,reject_count,fp_removed_pct,coverage_loss_pct_points,covered_loss_pct_of_base
221,141,2.073529411764706,69,0.6388888888888888,0,8,8,aspect_ratio > 3,8,0.053691275167785234,0.0,0.0
221,141,2.073529411764706,69,0.6388888888888888,0,8,8,aspect_ratio > 3 & conf < 0.15,8,0.053691275167785234,0.0,0.0
224,144,2.1176470588235294,69,0.6388888888888888,0,5,5,pad_area_norm > 0.65,5,0.03355704697986577,0.0,0.0
226,146,2.1470588235294117,69,0.6388888888888888,0,3,3,aspect_ratio > 4,3,0.020134228187919462,0.0,0.0
227,147,2.161764705882353,69,0.6388888888888888,0,2,2,bbox_area_norm > 0.45,2,0.013422818791946308,0.0,0.0
228,148,2.176470588235294,69,0.6388888888888888,0,1,1,aspect_ratio > 5,1,0.006711409395973154,0.0,0.0
228,148,2.176470588235294,69,0.6388888888888888,0,1,1,aspect_ratio > 6,1,0.006711409395973154,0.0,0.0
229,149,2.1911764705882355,69,0.6388888888888888,0,0,0,bbox_area_norm > 0.6,0,0.0,0.0,0.0
229,149,2.1911764705882355,69,0.6388888888888888,0,0,0,pad_area_norm > 0.8,0,0.0,0.0,0.0
229,149,2.1911764705882355,69,0.6388888888888888,0,0,0,aspect_ratio > 8,0,0.0,0.0,0.0
219,140,2.0588235294117645,68,0.6296296296296297,1,9,10,bbox_area_norm > 0.3,10,0.06040268456375839,0.00925925925925919,0.014492753623188406
193,116,1.7058823529411764,66,0.6111111111111112,3,33,36,region in slope-heavy & large box,36,0.2214765100671141,0.02777777777777768,0.043478260869565216
196,122,1.7941176470588236,65,0.6018518518518519,4,27,33,aspect_ratio > 2,33,0.18120805369127516,0.03703703703703698,0.057971014492753624
215,139,2.0441176470588234,65,0.6018518518518519,4,10,14,pad_area_norm > 0.5,14,0.06711409395973154,0.03703703703703698,0.057971014492753624
165,93,1.3676470588235294,64,0.5925925925925926,5,56,64,region in FP-heavy & conf < 0.1,64,0.37583892617449666,0.04629629629629628,0.07246376811594203
198,123,1.8088235294117647,64,0.5925925925925926,5,26,31,review filter v3,31,0.174496644295302,0.04629629629629628,0.07246376811594203
199,125,1.838235294117647,64,0.5925925925925926,5,24,30,tile_touches_raster_edge & conf < 0.1,30,0.1610738255033557,0.04629629629629628,0.07246376811594203
201,126,1.8529411764705883,64,0.5925925925925926,5,23,28,bbox_area_norm > 0.2,28,0.15436241610738255,0.04629629629629628,0.07246376811594203
201,126,1.8529411764705883,64,0.5925925925925926,5,23,28,pad_area_norm > 0.35,28,0.15436241610738255,0.04629629629629628,0.07246376811594203
205,130,1.911764705882353,64,0.5925925925925926,5,19,24,bbox_area_norm > 0.2 & conf < 0.15,24,0.12751677852348994,0.04629629629629628,0.07246376811594203
175,103,1.5147058823529411,63,0.5833333333333334,6,46,54,bbox_area_norm > 0.1 & max_iou independent proxy: conf < 0.15,54,0.3087248322147651,0.05555555555555547,0.08695652173913043
194,121,1.7794117647058822,61,0.5648148148148148,8,28,35,conf < 0.06,35,0.18791946308724833,0.07407407407407407,0.11594202898550725
169,101,1.4852941176470589,60,0.5555555555555556,9,48,60,pad_area_norm > 0.2,60,0.3221476510067114,0.08333333333333326,0.13043478260869565
143,75,1.1029411764705883,59,0.5462962962962963,10,74,86,review filter v2,86,0.4966442953020134,0.09259259259259256,0.14492753623188406
165,98,1.4411764705882353,59,0.5462962962962963,10,51,64,bbox_area_norm > 0.1,64,0.3422818791946309,0.09259259259259256,0.14492753623188406
136,71,1.0441176470588236,57,0.5277777777777778,12,78,93,review filter v1,93,0.5234899328859061,0.11111111111111105,0.17391304347826086
114,54,0.7941176470588235,55,0.5092592592592593,14,95,115,pad_touches_image_edge & conf < 0.15,115,0.6375838926174496,0.12962962962962954,0.2028985507246377
149,83,1.2205882352941178,55,0.5092592592592593,14,66,80,conf < 0.075,80,0.4429530201342282,0.12962962962962954,0.2028985507246377
172,111,1.6323529411764706,55,0.5092592592592593,14,38,57,has_edge_object & conf < 0.1,57,0.2550335570469799,0.12962962962962954,0.2028985507246377
142,83,1.2205882352941178,54,0.5,15,66,87,bbox_area_norm > 0.05,87,0.4429530201342282,0.13888888888888884,0.21739130434782608
113,54,0.7941176470588235,53,0.49074074074074076,16,95,116,large or edge low-conf combo,116,0.6375838926174496,0.14814814814814808,0.2318840579710145
140,82,1.2058823529411764,51,0.4722222222222222,18,67,89,bbox_touches_image_edge,89,0.44966442953020136,0.16666666666666663,0.2608695652173913
103,50,0.7352941176470589,48,0.4444444444444444,21,99,126,conf < 0.1,126,0.6644295302013423,0.19444444444444442,0.30434782608695654
79,33,0.4852941176470588,42,0.3888888888888889,27,116,150,conf < 0.125,150,0.7785234899328859,0.24999999999999994,0.391304347826087
65,22,0.3235294117647059,40,0.37037037037037035,29,127,164,conf < 0.15,164,0.8523489932885906,0.2685185185185185,0.42028985507246375
81,39,0.5735294117647058,39,0.3611111111111111,30,110,148,pad_touches_image_edge,148,0.738255033557047,0.27777777777777773,0.43478260869565216
86,46,0.6764705882352942,36,0.3333333333333333,33,103,143,bbox_area_norm > 0.02,143,0.6912751677852349,0.3055555555555555,0.4782608695652174
46,10,0.14705882352941177,33,0.3055555555555556,36,139,183,conf < 0.2,183,0.9328859060402684,0.33333333333333326,0.5217391304347826
