review_id,manual_label,comment,updated_at
000409_p0001,terrain_like,,2026-06-24T01:08:45
000409_p0002,terrain_like,,2026-06-24T01:09:19
000409_p0003,terrain_like,,2026-06-24T01:10:11
000409_p0004,terrain_like,,2026-06-24T01:10:35
000409_p0005,terrain_like,,2026-06-24T01:10:49
000409_p0006,terrain_like,,2026-06-24T01:11:02
000409_p0007,terrain_like,,2026-06-24T01:11:56
000409_p0008,terrain_like,,2026-06-24T01:12:14
000410_p0001,object,,2026-06-24T01:12:25
000410_p0002,plausible_object,,2026-06-24T01:14:08
000410_p0003,trash,,2026-06-24T01:14:20
000410_p0004,terrain_like,,2026-06-24T01:14:29
000410_p0005,terrain_like,,2026-06-24T02:36:45
000411_p0001,terrain_like,,2026-06-24T02:36:58
000411_p0002,terrain_like,,2026-06-24T02:37:13
000411_p0003,object,,2026-06-24T02:37:23
000412_p0001,plausible_object,,2026-06-24T02:37:44
000412_p0002,plausible_object,,2026-06-24T02:37:56
000412_p0003,plausible_object,,2026-06-24T02:38:05
000414_p0001,terrain_like,,2026-06-24T02:39:56
000414_p0002,terrain_like,,2026-06-24T02:40:09
000414_p0003,terrain_like,,2026-06-24T02:40:20
000414_p0004,terrain_like,,2026-06-24T02:40:30
000414_p0005,terrain_like,,2026-06-24T02:41:27
000415_p0001,bad_crop,,2026-06-24T02:41:51
000416_p0001,plausible_object,,2026-06-24T02:42:05
000417_p0001,terrain_like,,2026-06-24T02:42:14
000417_p0002,terrain_like,,2026-06-24T02:42:40
000417_p0003,terrain_like,,2026-06-24T02:42:52
000417_p0004,terrain_like,,2026-06-24T02:43:14
000418_p0001,plausible_object,,2026-06-24T02:43:27
000418_p0002,plausible_object,,2026-06-24T02:43:40
000418_p0003,plausible_object,,2026-06-24T02:43:52
000418_p0004,trash,,2026-06-24T02:44:12
000419_p0001,plausible_object,,2026-06-24T02:44:25
000420_p0001,object,,2026-06-24T02:44:41
000420_p0002,object,,2026-06-24T02:44:53
000420_p0003,object,,2026-06-24T02:45:10
000420_p0004,object,,2026-06-24T02:45:19
000420_p0005,object,,2026-06-24T02:45:33
000420_p0006,object,,2026-06-24T02:45:42
000420_p0007,object,,2026-06-24T02:45:53
000420_p0008,object,,2026-06-24T02:46:12
000420_p0009,object,,2026-06-24T02:58:00
000420_p0010,object,,2026-06-24T02:58:09
000421_p0001,object,,2026-06-24T02:58:16
000421_p0002,object,,2026-06-24T02:58:29
000421_p0003,object,,2026-06-24T02:58:39
000421_p0004,object,,2026-06-24T02:58:52
000421_p0005,object,,2026-06-24T02:59:00
000421_p0006,object,,2026-06-24T02:59:22
000421_p0007,object,,2026-06-24T02:59:33
000421_p0008,object,,2026-06-24T02:59:42
000421_p0009,object,,2026-06-24T02:59:53
000421_p0010,object,,2026-06-24T03:01:01
000421_p0011,terrain_like,,2026-06-24T03:01:14
000422_p0001,object,,2026-06-24T03:19:58
000422_p0002,object,,2026-06-24T03:19:56
000422_p0003,object,,2026-06-24T03:19:50
000422_p0004,plausible_object,,2026-06-24T03:19:45
000422_p0005,object,,2026-06-24T03:19:41
000422_p0006,object,,2026-06-24T03:19:37
000423_p0001,object,,2026-06-24T03:19:34
000423_p0002,object,,2026-06-24T03:19:31
000423_p0003,object,,2026-06-24T03:19:28
000423_p0004,object,,2026-06-24T03:19:22
000423_p0005,object,,2026-06-24T03:19:20
000423_p0006,object,,2026-06-24T03:19:15
000424_p0001,object,,2026-06-24T03:19:11
000424_p0002,object,,2026-06-24T03:19:07
000424_p0003,object,,2026-06-24T03:19:05
000424_p0004,plausible_object,,2026-06-24T03:19:01
000425_p0001,object,,2026-06-24T03:18:55
000425_p0002,object,,2026-06-24T03:18:52
000425_p0003,object,,2026-06-24T03:18:48
000425_p0004,object,,2026-06-24T03:18:46
000425_p0005,object,,2026-06-24T03:18:41
000425_p0006,object,,2026-06-24T03:18:38
000426_p0001,object,,2026-06-24T03:18:34
000426_p0002,object,,2026-06-24T03:18:32
000426_p0003,object,,2026-06-24T03:18:30
000427_p0001,object,,2026-06-24T03:18:29
000427_p0002,object,,2026-06-24T03:18:27
000427_p0003,object,,2026-06-24T03:18:25
000428_p0001,object,,2026-06-24T03:18:21
000428_p0002,object,,2026-06-24T03:18:17
000428_p0003,object,,2026-06-24T03:18:13
000428_p0004,object,,2026-06-24T03:18:09
000428_p0005,object,,2026-06-24T03:18:05
000428_p0006,object,,2026-06-24T03:18:00
000429_p0001,object,,2026-06-24T03:17:56
000429_p0002,object,,2026-06-24T03:17:52
000429_p0003,object,,2026-06-24T03:17:48
000429_p0004,object,,2026-06-24T03:17:45
000429_p0005,object,,2026-06-24T03:17:40
000429_p0006,object,,2026-06-24T03:17:38
000429_p0007,object,,2026-06-24T03:17:36
000429_p0008,object,,2026-06-24T03:17:34
000429_p0009,object,,2026-06-24T03:17:32
000429_p0010,object,,2026-06-24T03:17:29
000430_p0001,terrain_like,,2026-06-24T03:17:23
000430_p0002,terrain_like,,2026-06-24T03:17:20
000431_p0001,object,,2026-06-24T03:17:05
000431_p0002,terrain_like,,2026-06-24T03:17:02
000432_p0001,object,,2026-06-24T03:16:58
000432_p0002,terrain_like,,2026-06-24T03:16:54
000432_p0003,trash,,2026-06-24T03:16:19
000432_p0004,plausible_object,,2026-06-24T03:16:27
000432_p0005,plausible_object,,2026-06-24T03:16:30
000432_p0006,plausible_object,,2026-06-24T03:16:34
000432_p0007,plausible_object,,2026-06-24T03:16:42
000432_p0008,object,,2026-06-24T03:16:46
000432_p0009,terrain_like,,2026-06-24T03:01:56
000432_p0010,terrain_like,,2026-06-24T03:02:03
000433_p0001,terrain_like,,2026-06-24T03:02:09
000433_p0002,plausible_object,,2026-06-24T03:02:19
000433_p0003,plausible_object,,2026-06-24T03:02:27
