tp_fp_iou03,feature,count,mean,p25,median,p75,max
FP,mask_area,149,15491.053691275169,1665.0,6280.0,16536.0,168001.0
FP,foreground_fraction,149,0.107520295402144,0.03953823953823954,0.08053175022651766,0.12737596649484537,0.8003921568627451
FP,largest_component_area,149,10767.738255033557,1236.0,4407.0,11677.0,124138.0
FP,largest_component_fraction,149,0.7284331098888035,0.5505150912705584,0.77269176691142,0.8944099378881988,1.0
FP,mask_bbox_area,149,84867.44966442953,8547.0,27550.0,90720.0,691188.0
FP,mask_bbox_fraction,149,0.4662332448231021,0.22902684563758388,0.43824181557323594,0.7026041082051858,1.0
FP,compactness,149,0.25231919715456036,0.11778442538026701,0.19828542915015276,0.3127048243156507,1.0484053915093965
FP,num_components,149,6.275167785234899,3.0,5.0,8.0,23.0
FP,mean_foreground_prob,149,0.7678012875902572,0.7105952501296997,0.7763960957527161,0.8248358368873596,0.9239870309829712
FP,max_foreground_prob,149,0.9674572512607447,0.9539417028427124,0.9915757775306702,0.9975526928901672,0.9997541904449463
TP,mask_area,80,11239.175,2090.25,4849.5,13449.0,80974.0
TP,foreground_fraction,80,0.1497287879678702,0.09210904884249832,0.12619609674049392,0.17883977394455253,0.7157164869029276
TP,largest_component_area,80,9304.2,1381.5,3444.5,9679.5,80974.0
TP,largest_component_fraction,80,0.7855829791850402,0.6319240698431631,0.8329440802073194,0.9837980605244319,1.0
TP,mask_bbox_area,80,43586.975,5983.5,14226.5,47809.25,420518.0
TP,mask_bbox_fraction,80,0.48136624989420607,0.2847535225835356,0.3915226015745259,0.674482194552759,1.0
TP,compactness,80,0.2800363877570984,0.11688275185621119,0.21180392229833822,0.3687364827806692,1.011139369787088
TP,num_components,80,5.6625,3.0,5.0,8.0,16.0
TP,mean_foreground_prob,80,0.8030758574604988,0.7478837370872498,0.7998836636543274,0.8566045463085175,0.9427803158760071
TP,max_foreground_prob,80,0.9873607471585274,0.9835792779922485,0.9947170913219452,0.9988100826740265,0.9999786019325256
