rule,proposals_kept,proposals_rejected,coverage_iou03_kept,coverage_iou03_rate,coverage_loss,coverage_loss_fraction_of_baseline,fp_kept_iou03,fp_removed_iou03,fp_reduction_fraction,fp_per_image_iou03
largest_component_area >= 256,219,10,67,1.0,0,0.0,139,10,0.06711409395973154,2.316666666666667
compactness >= 0.05,224,5,67,1.0,0,0.0,144,5,0.03355704697986577,2.4
foreground_fraction >= 0.005,225,4,67,1.0,0,0.0,145,4,0.026845637583892617,2.4166666666666665
foreground_fraction >= 0.005 AND largest_component_area >= 32,225,4,67,1.0,0,0.0,145,4,0.026845637583892617,2.4166666666666665
foreground_fraction >= 0.003,227,2,67,1.0,0,0.0,147,2,0.013422818791946308,2.45
largest_component_area >= 64,227,2,67,1.0,0,0.0,147,2,0.013422818791946308,2.45
largest_component_area >= 128,227,2,67,1.0,0,0.0,147,2,0.013422818791946308,2.45
largest_component_area >= 32,228,1,67,1.0,0,0.0,148,1,0.006711409395973154,2.466666666666667
foreground_fraction >= 0.001,229,0,67,1.0,0,0.0,149,0,0.0,2.4833333333333334
largest_component_area >= 8,229,0,67,1.0,0,0.0,149,0,0.0,2.4833333333333334
largest_component_area >= 16,229,0,67,1.0,0,0.0,149,0,0.0,2.4833333333333334
compactness >= 0.02,229,0,67,1.0,0,0.0,149,0,0.0,2.4833333333333334
foreground_fraction >= 0.02,209,20,66,0.9850746268656716,1,0.014925373134328358,131,18,0.12080536912751678,2.183333333333333
foreground_fraction >= 0.01 AND compactness >= 0.05,215,14,66,0.9850746268656716,1,0.014925373134328358,136,13,0.087248322147651,2.2666666666666666
foreground_fraction >= 0.01,220,9,66,0.9850746268656716,1,0.014925373134328358,141,8,0.053691275167785234,2.35
foreground_fraction >= 0.05,174,55,62,0.9253731343283582,5,0.07462686567164178,100,49,0.3288590604026846,1.6666666666666667
1 <= num_components <= 10,202,27,60,0.8955223880597015,7,0.1044776119402985,129,20,0.1342281879194631,2.15
compactness >= 0.1,190,39,59,0.8805970149253731,8,0.11940298507462686,121,28,0.18791946308724833,2.0166666666666666
1 <= num_components <= 5,121,108,42,0.6268656716417911,25,0.373134328358209,75,74,0.4966442953020134,1.25
compactness >= 0.2,116,113,39,0.582089552238806,28,0.417910447761194,72,77,0.5167785234899329,1.2
largest_component_area >= 64 AND NOT touches_crop_edge,97,132,31,0.4626865671641791,36,0.5373134328358209,61,88,0.5906040268456376,1.0166666666666666
1 <= num_components <= 3,65,164,24,0.3582089552238806,43,0.6417910447761194,41,108,0.7248322147651006,0.6833333333333333
1 <= num_components <= 1,11,218,4,0.05970149253731343,63,0.9402985074626866,7,142,0.9530201342281879,0.11666666666666667
