sample_id,region,modality,mean_fg_iou,pixel_accuracy,object_precision,object_recall,object_f1,weighted_competition_f1,num_pred_objects,num_gt_objects
000003,005_ЛУБНО,Li,0.058465082198381424,0.8605194091796875,0.0,0.0,0.0,0.0,1,4
002114,044_ГОЧЕВО,Ae,0.002951018512248993,0.7921142578125,0.0,0.0,0.0,0.0,1,13
002112,044_ГОЧЕВО,Ae,0.0,0.89093017578125,0.0,0.0,0.0,0.0,1,3
002107,044_ГОЧЕВО,Ae,0.0131418751552701,0.758575439453125,0.0,0.0,0.0,0.0,3,6
002105,044_ГОЧЕВО,Ae,0.042344216257333755,0.7603912353515625,0.0,0.0,0.0,0.0,5,9
002103,044_ГОЧЕВО,Ae,0.0006058770231902599,0.779449462890625,0.0,0.0,0.0,0.0,3,7
002099,044_ГОЧЕВО,Ae,0.0,0.8085479736328125,0.0,0.0,0.0,0.0,3,1
002098,044_ГОЧЕВО,Ae,0.0,0.856048583984375,0.0,0.0,0.0,0.0,3,1
001816,038_ПЕТРОВСКОЕ,Ae,0.0,0.8878326416015625,0.0,0.0,0.0,0.0,6,1
001815,038_ПЕТРОВСКОЕ,Ae,0.0,0.946136474609375,0.0,0.0,0.0,0.0,4,1
